,DEPT,GR,CILD,RHOB,NPLS,PE,ILD,SP,DT,Formation,Well name,Log_ILD,Log_CILD
129,334.4,101.63,138.66,2.37,37.48,3.56,7.21,243.34,132.01,Unknown,BAUMGARTNER 1-23 #1,1.9754689512968577,4.9320248935143445
130,334.9,99.95,136.74,2.38,36.4,3.71,7.31,243.2,129.41,Unknown,BAUMGARTNER 1-23 #1,1.9892432737616872,4.918081312485648
131,335.4,107.38,135.42,2.39,34.18,3.79,7.38,243.05,126.18,Unknown,BAUMGARTNER 1-23 #1,1.998773638612381,4.908381060057499
132,335.9,114.02,135.0,2.39,34.37,3.78,7.41,242.85,123.91,Unknown,BAUMGARTNER 1-23 #1,2.0028304393079956,4.90527477843843
133,336.4,115.73,136.0,2.38,37.99,3.75,7.35,242.5,123.61,Unknown,BAUMGARTNER 1-23 #1,1.9947003132247452,4.912654885736052
134,336.9,118.41,138.82,2.36,40.69,3.76,7.2,242.55,125.34,Unknown,BAUMGARTNER 1-23 #1,1.9740810260220096,4.933178129911438
135,337.4,116.39,143.31,2.35,42.62,3.8,6.98,242.78,128.05,Unknown,BAUMGARTNER 1-23 #1,1.9430489167742813,4.96501011606998
136,337.9,108.3,147.15,2.34,40.99,3.74,6.8,242.87,130.66,Unknown,BAUMGARTNER 1-23 #1,1.916922612182061,4.991452474679482
137,338.4,106.52,149.54,2.34,38.23,3.65,6.69,243.02,132.3,Unknown,BAUMGARTNER 1-23 #1,1.900613874140137,5.00756391557177
138,338.9,112.33,149.65,2.34,35.51,3.65,6.68,243.16,132.92,Unknown,BAUMGARTNER 1-23 #1,1.8991179875485542,5.008299234298708
139,339.4,119.46,148.17,2.33,35.44,3.7,6.75,243.2,133.35,Unknown,BAUMGARTNER 1-23 #1,1.9095425048844386,4.998360263220643
140,339.9,122.71,145.92,2.34,38.32,3.7,6.85,243.29,133.85,Unknown,BAUMGARTNER 1-23 #1,1.9242486522741338,4.983058526326021
141,340.4,123.68,143.54,2.34,38.98,3.73,6.97,243.45,134.19,Unknown,BAUMGARTNER 1-23 #1,1.9416152247724325,4.966613742001925
142,340.9,123.44,141.91,2.34,38.77,3.81,7.05,243.66,135.02,Unknown,BAUMGARTNER 1-23 #1,1.9530276168241774,4.955193053846446
143,341.4,118.12,140.96,2.33,41.17,3.85,7.09,243.65,135.53,Unknown,BAUMGARTNER 1-23 #1,1.958685340544036,4.94847616218787
144,341.9,115.52,140.48,2.34,43.9,3.8,7.12,243.5,135.37,Unknown,BAUMGARTNER 1-23 #1,1.9629077254238845,4.945065129886807
145,342.4,121.43,140.57,2.34,44.19,3.76,7.11,243.51,135.46,Unknown,BAUMGARTNER 1-23 #1,1.9615022438151495,4.945705585343674
146,342.9,124.04,141.23,2.34,41.59,3.75,7.08,243.47,135.98,Unknown,BAUMGARTNER 1-23 #1,1.9572739077056285,4.9503897670809724
147,343.4,116.58,143.1,2.33,38.99,3.78,6.99,243.37,136.15,Unknown,BAUMGARTNER 1-23 #1,1.944480556245719,4.963543686562405
148,343.9,112.42,147.0,2.33,37.06,3.88,6.8,243.23,135.94,Unknown,BAUMGARTNER 1-23 #1,1.916922612182061,4.990432586778736
149,344.4,113.53,153.13,2.33,37.22,3.99,6.53,243.05,136.33,Unknown,BAUMGARTNER 1-23 #1,1.8764069432883397,5.031287233827117
150,344.9,112.47,160.17,2.33,40.29,3.95,6.25,243.1,137.04,Unknown,BAUMGARTNER 1-23 #1,1.8325814637483102,5.076235751180205
151,345.4,112.28,165.14,2.34,41.58,3.79,6.06,243.44,137.28,Unknown,BAUMGARTNER 1-23 #1,1.801709800081223,5.106793598989283
152,345.9,114.48,165.26,2.35,41.21,3.73,6.05,243.74,137.03,Unknown,BAUMGARTNER 1-23 #1,1.80005827204275,5.107519991273039
153,346.4,113.45,157.98,2.35,42.13,3.74,6.33,243.81,137.28,Unknown,BAUMGARTNER 1-23 #1,1.8453002361560848,5.062468442736273
154,346.9,107.03,143.8,2.35,38.12,3.79,6.97,243.85,137.58,Unknown,BAUMGARTNER 1-23 #1,1.9416152247724325,4.9684234452869465
155,347.4,99.04,128.88,2.38,31.22,3.85,7.77,243.58,137.66,Unknown,BAUMGARTNER 1-23 #1,2.050270164379556,4.858881738868719
156,347.9,87.61,114.13,2.44,22.7,3.98,8.78,243.1,135.74,Unknown,BAUMGARTNER 1-23 #1,2.172476407647025,4.737338149565509
157,348.4,68.12,102.28,2.52,14.29,4.26,9.79,242.88,125.83,Unknown,BAUMGARTNER 1-23 #1,2.281361456542419,4.627714150422986
158,348.9,52.93,93.29,2.56,9.52,4.74,10.73,242.75,106.2,Unknown,BAUMGARTNER 1-23 #1,2.373043556642607,4.53571292097287
159,349.4,57.23,85.94,2.56,8.72,5.12,11.65,242.63,88.01,Unknown,BAUMGARTNER 1-23 #1,2.4553061800117097,4.453649378346849
160,349.9,83.71,79.34,2.52,12.34,5.03,12.62,242.85,77.11,Unknown,BAUMGARTNER 1-23 #1,2.5352828571130672,4.373742415086184
161,350.4,123.38,74.16,2.44,19.49,4.71,13.49,243.28,76.15,Unknown,BAUMGARTNER 1-23 #1,2.6019486702196644,4.306224921257599
162,350.9,156.3,71.63,2.34,26.66,4.38,13.96,243.55,85.94,Unknown,BAUMGARTNER 1-23 #1,2.6361960973342264,4.27151398062636
163,351.4,171.99,72.09,2.27,31.3,4.1,13.87,243.46,100.27,Unknown,BAUMGARTNER 1-23 #1,2.6297282343267403,4.277915338416487
164,351.9,171.92,74.89,2.25,31.13,3.92,13.36,243.32,114.36,Unknown,BAUMGARTNER 1-23 #1,2.5922651681085,4.316020370261276
165,352.4,143.48,78.23,2.29,25.35,3.79,12.79,243.06,122.92,Unknown,BAUMGARTNER 1-23 #1,2.548663615590751,4.359653205696989
166,352.9,97.33,79.18,2.39,17.05,3.78,12.63,242.65,118.47,Unknown,BAUMGARTNER 1-23 #1,2.5360749363624,4.371723741677985
167,353.4,69.65,76.26,2.5,11.55,4.05,13.12,242.06,104.34,Unknown,BAUMGARTNER 1-23 #1,2.574137783515943,4.334148554429418
168,353.9,64.25,70.39,2.54,11.05,4.63,14.22,241.43,91.46,Unknown,BAUMGARTNER 1-23 #1,2.6546494243750947,4.25405120762004
169,354.4,65.46,63.03,2.52,13.21,5.1,15.9,240.95,83.17,Unknown,BAUMGARTNER 1-23 #1,2.766319109226186,4.143610803525019
170,354.9,70.57,58.21,2.48,15.93,4.96,17.19,240.89,81.61,Unknown,BAUMGARTNER 1-23 #1,2.844327819394758,4.064057161283644
171,355.4,73.36,57.69,2.45,18.6,4.55,17.34,241.07,85.95,Unknown,BAUMGARTNER 1-23 #1,2.853015971352396,4.055083848268798
172,355.9,68.01,60.43,2.46,19.75,4.27,16.56,241.01,89.58,Unknown,BAUMGARTNER 1-23 #1,2.8069901489571136,4.101485670373467
173,356.4,66.69,63.6,2.47,20.25,4.13,15.73,240.81,90.94,Unknown,BAUMGARTNER 1-23 #1,2.7555697170701863,4.152613470346076
174,356.9,74.66,65.13,2.46,21.37,3.85,15.35,240.66,91.61,Unknown,BAUMGARTNER 1-23 #1,2.731115474033206,4.17638527255831
175,357.4,82.85,63.71,2.45,22.95,3.61,15.7,240.81,92.22,Unknown,BAUMGARTNER 1-23 #1,2.7536607123542622,4.154341536128396
176,357.9,81.2,61.04,2.45,23.97,3.57,16.39,241.21,96.14,Unknown,BAUMGARTNER 1-23 #1,2.7966713927557385,4.111529386976201
